seller_id,seller_cluster,scaled_expected_orders_60d,scaled_p_purchase_approx_60d,scaled_expected_commission_60d
167fd940acebc789debd6eb418c46e38,1,-0.09832324387697233,0.2049405022475914,0.17792840731332799
1690cada046eb7e92c12f98b1f8a8167,1,-0.007727343286501123,0.33515797188354385,0.34479037039483773
16bdc8cefd0e32a6f0824d296c5ad14a,1,-0.1843918780257285,0.07688170629013087,-0.5240825483765124
1710c3aaa9c6b44ec3883ee0fe300e21,2,0.4524556592488134,0.8554363522231573,0.850348932653399
17306570e772e7718c92a562d33f5f1d,2,0.6557932352519681,0.9791665120325782,1.0346921153676965
1746c1ae87ac63d530c7c943d0ac42e2,0,-1.0073777645697461,-1.1145298740065,-0.5507842913449119
1771297ac436903d1dd6b0e9279aa505,2,0.5410354427806634,0.917998008064567,0.4054540258858867
1782ce2db72c3dda627d5e7c898104e1,1,-0.26398374221039306,-0.04390675377695376,0.22549616349959858
17908cf9b444ee34047cadd5c0f4a516,1,0.17741526544002784,0.5785606424898708,0.4946488819957047
17998cf586426bf0f2c3726cb0a4b211,0,-0.8946157628656853,-0.9691274585963098,-0.9620468532105564
17a053fcb14bd219540cbde0df490be0,2,1.4978834887573262,1.061318991252526,1.7739753908862432
17ca9b9e9b9ef8fdb529001b49ebb50f,2,1.3921918726565208,1.0613123023409847,0.9744809458286662
17e34d8224d27a541263c4c64b11a56b,2,1.6985457052782902,1.0613191986019543,1.8269641248485722
17eea220a40cc0d2c0c5346379682398,0,-1.2518186873663055,-1.4006390602454293,-1.1974673957153392
17f51e7198701186712e53a39c564617,2,0.9595566743956984,1.0520652258119556,1.7598712455780814
180c3376aff0e43dd5788709df48a843,1,-0.4310919833858024,-0.29979919749750283,0.695517683756256
1835b56ce799e6a4dc4eddc053f04066,2,1.9617103227045216,1.061319198604006,1.7772660548122818
1838dd9b8977065acf51d95e0053ea7a,2,1.2193747904780787,1.061001178670774,0.5375207726487181
184a67a8f9f63234d3a92340bbdb727f,0,-0.592251860859235,-0.5428029966214731,-0.926755567107582
18a349e75d307f4b4cc646a691ed4216,2,1.3041922776409245,1.0612583589147941,0.8563593071264635
1900267e848ceeba8fa32d80c1a5f5a8,2,1.8606198454503875,1.061319198604006,1.5231938444359463
191d55f7edb8524d525ed01b20fe32e8,1,-0.5619474343566683,-0.4977020736591348,0.025723423854087643
1976a05ecf2996d6ffb7b5430e635fe7,0,-1.0262264158594685,-1.1380269458689993,-0.5485322973788659
1987cd4be10fe09ee50454f9c354d1c6,1,0.2432072329379704,0.6552644656162886,0.4942873223494889
198c7ea11960a9844b544d9bcdca860c,0,-1.303044214513474,-1.4554353420215072,-1.5968398965082213
